order,relativePath,fileName,sizeBytes,isPdfHeader,pdfInfoStatus,pageCount,textSampleChars,extractionClass,sourceAssetId,dbExtractedPages,dbTextBlocks,manualStatus,nextAction
1,downloads/1000 CÂU GIẢI ĐỀ TOEIC FORMAT MỚI 2019.pdf,1000 CÂU GIẢI ĐỀ TOEIC FORMAT MỚI 2019.pdf,1913102,True,ok,198,1967,VALID_TEXT_EXTRACTED,local-asset-3ef4473164778c4b,198,4683,not_started,parse_or_review_drafts
2,downloads/1500 từ vựng TOEIC thường gặp.pdf,1500 từ vựng TOEIC thường gặp.pdf,2572354,True,ok,117,2018,VALID_TEXT_EXTRACTED,local-asset-6fa64ecbfaeae2a1,117,7010,not_started,parse_or_review_drafts
3,downloads/Các dạng câu hỏi part 2 thường gặp trong TOEIC format mới.pdf,Các dạng câu hỏi part 2 thường gặp trong TOEIC format mới.pdf,791059,True,ok,14,1945,VALID_TEXT_EXTRACTED,local-asset-cbd65b0c9bcb112e,14,151,not_started,parse_or_review_drafts
4,downloads/Cẩm nang giải part 7 TOEIC.pdf,Cẩm nang giải part 7 TOEIC.pdf,5895524,True,ok,73,2715,VALID_TEXT_EXTRACTED,local-asset-2440fca719bd096e,73,631,not_started,parse_or_review_drafts
5,downloads/GIAI THICH CHI TIET SACH HACKER TOEIC STYLE KOREA.pdf,GIAI THICH CHI TIET SACH HACKER TOEIC STYLE KOREA.pdf,950364,True,ok,26,2418,VALID_TEXT_EXTRACTED,local-asset-8f940f034e2c6e00,26,554,not_started,parse_or_review_drafts
6,downloads/HƯỚNG DẪN GIẢI BÀI NGHE CÓ BA GIỌNG ĐỌC.pdf,HƯỚNG DẪN GIẢI BÀI NGHE CÓ BA GIỌNG ĐỌC.pdf,1641798,True,ok,33,1230,VALID_TEXT_EXTRACTED,local-asset-5bda742734ed7790,33,197,not_started,parse_or_review_drafts
7,downloads/KẾ HOẠCH 30 NGÀY ÔN TOEIC.pdf,KẾ HOẠCH 30 NGÀY ÔN TOEIC.pdf,4653607,True,ok,61,2200,VALID_TEXT_EXTRACTED,local-asset-2733c8d4c0d53507,61,61,not_started,parse_or_review_drafts
8,downloads/KỸ NĂNG LÀM BÀI NGHE CÓ HÌNH ẢNH TRONG ĐỀ THI TOEIC FORMAT MỚI.pdf,KỸ NĂNG LÀM BÀI NGHE CÓ HÌNH ẢNH TRONG ĐỀ THI TOEIC FORMAT MỚI.pdf,3357616,True,ok,32,1170,VALID_TEXT_EXTRACTED,local-asset-c7ed4de66fe81794,32,32,not_started,parse_or_review_drafts
9,downloads/Lộ trình chinh phục TOEIC Nói Viết 250+.pdf,Lộ trình chinh phục TOEIC Nói Viết 250+.pdf,2036575,True,ok,7,2851,VALID_TEXT_EXTRACTED,local-asset-b6d061986ed420d6,7,7,not_started,parse_or_review_drafts
10,downloads/Lộ trình từ A đến Z đạt TOEIC 700+.pdf,Lộ trình từ A đến Z đạt TOEIC 700+.pdf,1090389,True,ok,77,2466,VALID_TEXT_EXTRACTED,local-asset-1e8d748f683018e0,77,77,not_started,parse_or_review_drafts
11,downloads/Thu thuat lam bai thi TOEIC.pdf,Thu thuat lam bai thi TOEIC.pdf,709147,True,ok,34,1855,VALID_TEXT_EXTRACTED,local-asset-702d4f53a973e685,34,32,not_started,parse_or_review_drafts
12,downloads/TÀI LIỆU 30 NGÀY TỰ ÔN TOEIC.pdf,TÀI LIỆU 30 NGÀY TỰ ÔN TOEIC.pdf,2333911,True,ok,1,1434,VALID_TEXT_EXTRACTED,local-asset-0c995f8fba468cb0,1,1,not_started,parse_or_review_drafts
13,downloads/Tổng hợp 300 từ vựng TOEIC cho trình độ mất gốc.pdf,Tổng hợp 300 từ vựng TOEIC cho trình độ mất gốc.pdf,997319,True,ok,128,2372,VALID_TEXT_EXTRACTED,local-asset-ee000da96acf3ec6,128,128,not_started,parse_or_review_drafts
14,downloads/Tổng hợp Từ vựng part 2 - Duonghiephl.pdf,Tổng hợp Từ vựng part 2 - Duonghiephl.pdf,980990,True,ok,22,3565,VALID_TEXT_EXTRACTED,local-asset-3d702797d0417b28,22,22,not_started,parse_or_review_drafts
15,downloads/Tự-Học-TOEIC-Để-Tiết-Kiệm-Tiền-Cho-Bố-Mẹ-Các-Bạn (1).pdf,Tự-Học-TOEIC-Để-Tiết-Kiệm-Tiền-Cho-Bố-Mẹ-Các-Bạn (1).pdf,1405656,True,ok,141,4074,VALID_TEXT_EXTRACTED,local-asset-47b9af01b48f50be,141,141,not_started,parse_or_review_drafts
16,downloads/VƯỢT QUA DẠNG ĐIỀN CÂU VÀO CHỖ TRỐNG TRONG PART 6 DỄ DÀNG.pdf,VƯỢT QUA DẠNG ĐIỀN CÂU VÀO CHỖ TRỐNG TRONG PART 6 DỄ DÀNG.pdf,2220963,True,ok,30,1130,VALID_TEXT_EXTRACTED,local-asset-27a5d47e85f0dc46,30,30,not_started,parse_or_review_drafts
